,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,United States,VA,VT,WA,WI,WV,WY
1972-01-01,29986.44374152734,16592.86037053773,15833.709896068685,21287.844554902847,25539.99096249435,22882.964301852688,26208.766380478988,30641.662901039315,24609.127880704928,21961.138725711702,18992.318120198826,27880.70492544058,20600.994125621328,19561.68097605061,24093.990058743788,20347.94396746498,21563.488477180297,17175.779484862178,16710.347943967467,23511.07094441934,25661.997288748305,18287.392679620425,22598.282873926797,21301.40081337551,20614.55038409399,15033.890646181653,20298.237686398556,18187.980117487572,20677.81292363308,20989.606868504292,20591.956619972887,25494.803434252146,18251.24265702666,26421.147763217352,25318.572074107546,21432.444645277905,18965.205603253504,21635.788522367828,21477.63217352011,21852.688657930412,17135.110709444194,19046.54315408947,17650.248531405334,19665.61229100768,18883.868052417532,21947.58246723904,22241.301400813376,19403.524627202893,22390.420244012654,20826.931766832353,16850.4292815183,21943.06371441482
1973-01-01,32238.025876103162,17513.494987576043,17432.096649815783,22041.813040870536,26231.685374003944,23901.122440236486,27071.37348984663,31042.755547939338,25614.77165624197,23010.02484791363,19946.87687430383,28459.429354811073,23417.016536714935,20927.941050466972,25477.679718961528,22003.255933510412,23207.094507754264,18108.98809013795,17556.336217976183,24128.18096135721,26651.529431925286,19269.985433981667,23794.01936423614,23562.6767200754,21613.400736869164,16005.483677491218,22058.94953303059,19239.99657270157,27345.55736440751,23057.150201353783,21442.035815268617,26317.367834804216,18940.107959900608,27336.98911832748,25798.98894696256,22500.214206152003,20118.241795904378,22667.295004712538,22358.83814583155,22097.506640390715,18049.010367577757,22748.693342472798,18781.595407420104,20713.734898466286,19364.236140861965,22975.751863593523,23237.08336903436,19968.2974895039,23699.768657355842,21956.13058007026,17402.107788535686,23866.849455916374
1974-01-01,34693.23586055104,17596.19541720709,17501.866918209333,21797.743976732305,26455.213614746688,24140.23503517667,27036.906025232875,31458.55441575286,25256.45560665016,22627.048697087608,19726.447352906496,29131.784773808122,22234.013284596942,21876.351059230437,25523.719687143814,21506.897771489213,22984.710922454113,18464.803678811462,18158.23605706874,23935.856620681523,26533.820697244824,19388.436898164524,23259.83571119758,23200.88039932398,21168.88731674724,15941.516330621389,21699.485123609637,19184.058483669378,24776.95240341155,21892.072475730063,21247.494399245374,26227.253075502103,19093.660338796526,26514.16892662029,25677.003498015172,22607.396926463076,20253.11480564399,23145.855441575288,22572.023739338914,21801.67433085721,18295.798451440474,20881.971465629053,18779.232008803992,20995.951735251347,19376.645835789805,22937.546672955235,23283.41783594702,19636.049208033644,24179.538576425737,22029.634870101796,17611.916833706717,24828.047007035337
1975-01-01,40305.75539568345,17690.64748201439,17154.676258992804,20953.23741007194,26330.935251798557,23992.805755395682,26499.999999999996,31776.978417266186,24618.70503597122,21967.625899280574,19258.992805755395,28442.446043165466,22636.690647482013,21043.1654676259,25410.07194244604,21248.20143884892,22870.5035971223,18125.899280575537,18392.08633093525,23597.12230215827,26133.093525179855,18942.446043165466,22805.755395683453,22805.755395683453,21161.87050359712,15683.45323741007,21503.597122302155,18809.35251798561,23557.55395683453,22791.366906474817,20812.949640287767,25910.07194244604,19392.08633093525,26370.5035971223,25417.266187050358,22097.12230215827,20420.863309352517,23086.330935251797,22514.38848920863,21827.338129496402,17852.51798561151,20967.625899280574,18482.014388489206,21392.08633093525,19212.230215827338,22748.20143884892,23035.97122302158,19428.057553956834,24571.942446043162,21938.848920863307,17953.237410071943,24651.079136690645
1976-01-01,42437.77702011592,18540.74326628026,17889.532901466075,21510.398908966927,27190.589839754517,24585.748380497782,27108.762359359018,32553.699284009544,25332.424139106715,22355.949539720423,20051.142175247187,28527.105352881008,22638.93624275486,21626.321172860553,26062.052505966585,22297.98840777361,23354.92669621548,18874.872144561883,19338.561200136377,24132.287759972725,26890.555744971018,20167.06443914081,24105.011933174224,23187.862257074667,21851.346743948176,16662.120695533584,21605.864302761678,19587.45311967269,21674.053869757925,22492.32867371292,21882.032049096488,26651.892260484146,19931.81043300375,27255.369928400953,25605.182407091714,23020.797817933857,20951.24445959768,24176.610978520286,23314.01295601773,22502.557108762358,18656.665530173883,19522.673031026254,19311.28537333788,22257.07466757586,20000.0,23440.16365496079,23760.654619843164,20211.387657688374,25311.96726900784,22761.677463348107,18598.70439822707,24919.877258779405
1977-01-01,41053.5439137134,19003.595274781714,18412.942989214174,22014.63790446841,27866.5896250642,25211.86440677966,28094.504365690806,33606.18900873138,25587.44221879815,23054.699537750384,20531.587057010784,28338.469440164354,23433.487416538264,21590.90909090909,26865.048793014892,23102.850539291216,23796.224961479198,19693.759630200308,20011.5562403698,24756.03492552645,27301.61787365177,20351.823317925013,25401.2583461736,24435.02824858757,22695.17205957884,17254.108885464815,21632.639958911142,19937.724704673856,21070.878274268103,22865.305598356445,22630.970724191062,27458.91114535182,20486.64612223934,28296.7385721623,26187.724704673856,23959.938366718026,21613.37955829481,24756.03492552645,24091.551104262966,23070.749871597327,18894.453004622494,20791.602465331278,19818.95223420647,22868.515665125833,20582.948125321007,24126.861838726243,24438.238315356957,20348.613251155624,25879.55829481253,23805.855161787364,19298.921417565485,26332.177709296353
1978-01-01,39042.67762348918,19821.251836967276,19632.306631076983,23297.243799298198,28974.59736676363,26464.325345649755,29151.54605164502,34037.129232522566,26080.43667336472,24184.98635395735,21455.777824430912,28911.61563146687,25210.68890021893,22484.479500944723,27630.987013766004,23897.06984974357,24445.910685901083,20301.112677323574,21080.886542902554,25558.588009477247,28212.818282698012,20810.964820202138,26326.36535404732,25453.61845064931,23477.19161443181,17745.85370242629,23297.243799298198,20759.979605914283,24697.83762708814,24616.861110278016,23789.101160663402,28416.759139849437,21437.78304291755,30126.263383618745,26839.216627178113,24685.84110607923,22544.46210598926,25768.527127133126,24841.79587919503,23597.156824520884,19605.31445880694,22373.51168161233,20822.961341211045,24062.022013616046,21350.808265602973,25060.73238760759,25534.594967459434,21506.763038718767,27295.084425516594,24739.825450619315,19917.224005038534,28074.858291095577
1979-01-01,38061.47881473276,20146.773746884523,19634.45029077818,24126.280808640266,29792.30130157851,27189.144281362504,30210.468014400445,33796.732207144836,26444.198283024096,24760.45416782055,21739.13043478261,29277.20852949322,24970.922182220995,22173.913043478264,28019.939075048464,24181.66712821933,25618.94212129604,20866.79590141235,21728.0531708668,26258.65411243423,28554.417058986433,21143.72749930767,26491.2766546663,25918.028247022987,24079.202436998065,18371.64220437552,22982.553309332598,20958.18332871781,23389.642758238715,24491.83051786209,24635.834948767657,29058.432567155913,21813.901966214347,30301.855441705902,27227.91470506785,25167.54361672667,23697.036831902522,26197.72916089726,25355.857103295486,24209.360288008862,19991.692052063143,22769.3159789532,21102.187759623375,24862.91885904182,21453.89088895043,25566.32511769593,26100.803101633897,21985.599556909445,28125.173082248686,25400.16615895874,20312.93270562171,28900.58155635558
1980-01-01,39386.858347514666,20215.386959945135,19306.08823753524,24576.46491072109,30352.2897564197,27987.60509004089,31421.604734449214,33613.57344238145,27469.457214701175,25788.016560412485,21853.648624622183,30154.17439231922,24413.90871453608,22496.253587666048,27822.508953290493,23794.16321658073,25602.60089913896,20710.67537019634,22478.474003708314,27146.88476289655,29150.897868989865,21762.210764268115,25988.67186507836,26120.748774478678,23809.402859973077,18206.29397272104,23235.376292194764,21208.503721012927,20469.381016484214,23855.12179015011,25508.6230982195,29986.53831500343,21967.945950064768,30349.74981585431,27954.585862690812,25216.529933199563,24462.167585278505,26001.37156790531,25495.923395392547,25147.951537934012,20235.706484468265,21018.00817860862,21030.707881435574,25363.846485992228,21246.60282949379,25866.7547179396,26849.711716745827,22333.69739148104,28277.158314495442,25495.923395392547,20355.08369104163,29498.8697264484
1981-01-01,39645.45095946353,20402.812260714203,19936.422488804325,24955.33331786435,30512.564679676078,28707.33461725874,32020.790310230408,33060.30582175093,27579.645915028887,26305.77534399146,22261.410306981925,29480.010209527343,25280.181915214514,22268.371348353714,28138.849571895953,23871.731210989165,26308.095691115388,21001.461818688076,23326.449636865673,27516.996542682784,29396.477713065873,21785.73914657633,25493.65385061605,26250.087013017146,24219.783279578623,18579.019421305427,23906.53641784811,21600.11137666195,24291.714040420447,25194.329071629116,26027.333689119892,30438.313571710325,22268.371348353714,30106.503932988373,28454.416780750398,25075.991368308696,25625.913636680045,25354.433023180267,25707.125786017587,25456.528296633176,20509.54822841497,22386.70905167413,21247.418613824626,26468.199642666543,21249.738960948558,26199.039376290693,27129.49857298652,22778.847715618256,28138.849571895953,25326.58885769311,20240.38796203912,29702.7635334246
