country,iso code,observations,money growth,inflation,gdp growth,nominal interest rate,exchange rate depreciation,income group,oecd
St. Lucia,LCA,44.0,0.07604072169101461,0.029815471030309793,0.030934177052752032,0.1089400922758057,0.0,middle,no
St. Vincent and the Grenadines,VCT,45.0,0.0728568054856733,0.031167215147297478,0.029810306655485563,0.09955018353787734,0.0,middle,no
Suriname,SUR,35.0,0.34593330848296633,0.34384779423356315,0.016463157266375594,0.1733427904106813,0.33526061947293173,middle,no
Sweden,SWE,15.0,0.06801152909142938,0.01667939443693256,0.029173722077879827,0.07360835555555555,0.01704199119717731,high,yes
Tajikistan,TJK,18.0,0.2897292335131674,0.12145868597424103,0.07349525046695193,0.23047140269806662,0.07552528483231802,middle,no
Tanzania,TZA,29.0,0.17832718685311355,0.10755692209929846,0.05401157317116301,0.19784910224956015,0.07565380108038378,middle,no
Thailand,THA,26.0,0.1664382521461074,0.050084338537820905,0.06244290471630354,0.12917467948717942,0.031626527242246905,middle,no
Timor-Leste,TLS,13.0,0.11937180667949554,0.03713034191839859,0.021322623959878717,0.1270790463454914,0.0,middle,no
Togo,TGO,13.0,0.14812542136372198,0.02139014843579723,0.04488224831866794,0.05371480769230771,0.008071492743903175,low,no
Tonga,TON,12.0,0.08750134863069081,0.02345776188490989,0.014048579400158134,0.08270514321081864,0.029348799502829648,middle,no
Trinidad and Tobago,TTO,46.0,0.08082533382141222,0.04208062811053659,0.02081251235385362,0.11395688405797103,0.023245893121173866,high,no
Uganda,UGA,25.0,0.16796034930289316,0.07764344788872513,0.06516963197748349,0.21148405870376838,0.05726243000547604,low,no
Ukraine,UKR,32.0,0.33204309226584705,0.33350654360381227,-0.011943073816990668,0.40077276302083326,0.24473373531914122,middle,no
United Kingdom,GBR,48.0,0.11544002427106559,0.059951669242505945,0.023257631089573128,0.07368179166666664,0.011077942245768746,high,yes
United States,USA,62.0,0.07522632157548204,0.032677965751465976,0.030200672594123068,0.07032231182795698,0.0,high,yes
Uruguay,URY,49.0,0.31704438147087566,0.2683418338436936,0.023004726274595377,0.5357557785432185,0.21650816497357428,high,no
Uzbekistan,UZB,12.0,0.22622608451794046,0.15850222757311982,0.05909761922082435,0.19102682673856702,0.1776028657318176,middle,no
Vanuatu,VUT,12.0,0.08224186289088231,0.041058340916652725,0.019740162946257467,0.09743469437659362,0.021266021263971924,middle,no
Viet Nam,VNM,27.0,0.2331904078019007,0.0786942120828098,0.063319059290182,0.10791880731922399,0.029122307398927072,middle,no
"Yemen, Rep.",YEM,18.0,0.15377441001875858,0.11832898578572926,0.03344278756387098,0.20713425925925924,0.04973650877866986,low,no
Zambia,ZMB,28.0,0.2586127921206627,0.16965483720680075,0.04477702366931835,0.3067096369047618,0.1469426162372265,middle,no
