The data on this page were constructed as part of the paper "Building a composite Help-Wanted Index" (Barnichon, 2010). Anyone is free to download the data and use it in his/her own research, as long as he/she cites the aforementioned paper.	
Update (02/2017): 
Because of divergence in the online HWI series and the JOLTS (see Cajner and Radner 2016, "A Cautionary Note on the Help Wanted Online Data"), I now rely solely on the JOLTS V (number of non-farm ads) past 2001Q1. 
The composite HWI index over 1951Q1-200Q4 was converted in units of job openings rate, ie #V/(size of the Labor Force).	
	
See the paper for details and construction methods for the composite HWI over 1951-2000.	
	
1982M06	2.445286707
1982M07	2.324744405
1982M08	2.255863089
1982M09	2.135320787
1982M10	2.135320787
1982M11	2.135320787
1982M12	2.221422431
1983M01	2.255863089
1983M02	2.255863089
1983M03	2.324744405
1983M04	2.376405392
1983M05	2.583049339
1983M06	2.56582901
1983M07	2.72081197
1983M08	2.755252628
1983M09	2.806913615
1983M10	3.082438877
1983M11	3.082438877
1983M12	3.20298118
1984M01	3.289082825
1984M02	3.426845456
1984M03	3.426845456
1984M04	3.564608087
1984M05	3.599048745
1984M06	3.667930061
1984M07	3.719591048
1984M08	3.599048745
1984M09	3.68515039
1984M10	3.702370719
1984M11	3.650709732
1984M12	3.788472363
1985M01	3.68515039
1985M02	3.702370719
1985M03	3.788472363
1985M04	3.68515039
1985M05	3.771252034
1985M06	3.771252034
1985M07	3.736811377
1985M08	3.754031706
1985M09	3.805692692
1985M10	3.736811377
1985M11	3.805692692
1985M12	3.702370719
1986M01	3.68515039
1986M02	3.667930061
1986M03	3.633489403
1986M04	3.650709732
1986M05	3.581828416
1986M06	3.788472363
1986M07	3.633489403
1986M08	3.667930061
1986M09	3.702370719
1986M10	3.68515039
1986M11	3.84013335
1986M12	3.633489403
1987M01	3.581828416
1987M02	3.788472363
1987M03	3.943455324
1987M04	3.909014666
1987M05	3.99511631
1987M06	3.99511631
1987M07	3.99511631
1987M08	4.1673196
1987M09	4.150099271
1987M10	4.184539929
1987M11	4.236200915
1987M12	4.046777297
1988M01	3.943455324
1988M02	3.99511631
1988M03	4.098438284
1988M04	4.063997626
1988M05	4.150099271
1988M06	4.029556968
1988M07	4.098438284
1988M08	4.098438284
1988M09	3.926234995
1988M10	4.132878942
1988M11	3.99511631
1988M12	4.081217955
1989M01	3.943455324
1989M02	3.943455324
1989M03	3.84013335
1989M04	4.029556968
1989M05	3.857353679
1989M06	3.68515039
1989M07	3.754031706
1989M08	3.719591048
1989M09	3.702370719
1989M10	3.788472363
1989M11	3.633489403
1989M12	3.754031706
1990M01	3.667930061
1990M02	3.512947101
1990M03	3.495726772
1990M04	3.444065785
1990M05	3.35796414
1990M06	3.323523482
1990M07	3.323523482
1990M08	3.185760851
1990M09	3.065218549
1990M10	2.910235588
1990M11	2.703591641
1990M12	2.703591641
1991M01	2.514168023
1991M02	2.428066378
1991M03	2.376405392
1991M04	2.359185063
1991M05	2.359185063
1991M06	2.39362572
1991M07	2.307524076
1991M08	2.273083418
1991M09	2.290303747
1991M10	2.186981773
1991M11	2.221422431
1991M12	2.23864276
1992M01	2.118100458
1992M02	2.204202102
1992M03	2.307524076
1992M04	2.221422431
1992M05	2.290303747
1992M06	2.255863089
1992M07	2.23864276
1992M08	2.290303747
1992M09	2.221422431
1992M10	2.273083418
1992M11	2.341964734
1992M12	2.341964734
1993M01	2.290303747
1993M02	2.376405392
1993M03	2.359185063
1993M04	2.359185063
1993M05	2.445286707
1993M06	2.376405392
1993M07	2.462507036
1993M08	2.514168023
1993M09	2.462507036
1993M10	2.583049339
1993M11	2.600269668
1993M12	2.669150983
1994M01	2.750223705
1994M02	2.86448884
1994M03	2.909579582
1994M04	2.90432786
1994M05	3.016775261
1994M06	2.944519205
1994M07	3.097601811
1994M08	2.966010321
1994M09	3.001055028
1994M10	3.185959825
1994M11	3.143606646
1994M12	3.257807781
1995M01	3.139872879
1995M02	3.144462617
1995M03	3.074257852
1995M04	3.107915173
1995M05	2.900747053
1995M06	2.943708925
1995M07	3.096445107
1995M08	3.065154833
1995M09	3.065646611
1995M10	3.109744016
1995M11	3.002834646
1995M12	3.288121211
1996M01	3.096922095
1996M02	3.018334881
1996M03	3.099712071
1996M04	3.023650374
1996M05	2.907902894
1996M06	3.19187756
1996M07	2.989045338
1996M08	3.00359296
1996M09	3.160207155
1996M10	3.001413741
1996M11	3.247073911
1996M12	3.214954407
1997M01	3.17696424
1997M02	3.308923864
1997M03	3.26728239
1997M04	3.235235701
1997M05	3.043268997
1997M06	3.333971345
1997M07	3.217981229
1997M08	3.267013133
1997M09	3.440737004
1997M10	3.373421989
1997M11	3.582961985
1997M12	3.345210133
1998M01	3.48436255
1998M02	3.581341479
1998M03	3.551404394
1998M04	3.569099163
1998M05	3.578615592
1998M06	3.508083478
1998M07	3.520121809
1998M08	3.57948253
1998M09	3.407226585
1998M10	3.381178573
1998M11	3.565622775
1998M12	3.490685601
1999M01	3.713191854
1999M02	3.77673323
1999M03	3.629202521
1999M04	3.598462493
1999M05	3.657440945
1999M06	3.495617835
1999M07	3.556211263
1999M08	3.576699017
1999M09	3.458843384
1999M10	3.609177612
1999M11	3.578759918
1999M12	3.641600141
2000M01	3.78594195
2000M02	3.849585688
2000M03	3.784095386
2000M04	3.79963521
2000M05	3.560038874
2000M06	3.486759282
2000M07	3.565136512
2000M08	3.350662991
2000M09	3.467841259
2000M10	3.442909836
2000M11	3.317382398
