hpi,cpi (1982-1984=100),pce (2012=100),real hpi (cpi),real hpi (pce)
147.56,217.605,95.604,67.81094184416719,154.34500648508433
143.13,219.035,96.135,65.3457210034926,148.88438133874237
139.05,221.187,96.835,62.86535827150782,143.59477461661592
139.16,224.093,97.908,62.09921773549375,142.13343138456509
142.34,225.395,98.353,63.151356507464676,144.7235976533507
138.41,226.75,98.725,61.040793825799334,140.19751835907826
134.17,227.842,99.323,58.88729909323126,135.08452221539824
138.47,229.187,99.866,60.41791201071614,138.65579877035228
144.28,228.59,99.74,63.11737171354827,144.65610587527573
143.97,231.638,100.677,62.15301461763614,143.00187729074167
144.31,231.679,100.787,62.28877023813121,143.18314862035777
150.97,231.797,100.944,65.1302648438073,149.55817086701538
158.29,232.9,101.354,67.9647917561185,156.1753852832646
159.56,233.669,101.722,68.2846248325623,156.85888991565247
159.37,235.288,102.278,67.7340110842882,155.82041103658653
162.97,236.468,102.742,68.91841602246393,158.62062253022134
167.14,237.498,103.19,70.37532947645875,161.97305940498111
166.92,237.43,103.177,70.30282609611254,161.78024172053847
166.26,234.747,102.465,70.8251862643612,162.2602839994144
169.98,236.222,102.91,71.95773467331577,165.17345253133806
174.5,238.034,103.441,73.30885503751566,168.6951982289421
175.06,237.733,103.274,73.63723168428447,169.51023490907681
175.05,237.652,103.306,73.65812195984046,169.4480475480611
178.5,238.992,103.823,74.68869250853587,171.92722229178509
183.03,240.101,104.218,76.23041969837693,175.62225335354736
184.03,241.741,104.786,76.12692923418038,175.62460634054167
184.67,243.618,105.408,75.80310157705917,175.19543108682453
188.55,244.193,105.744,77.21351553893847,178.30798910576488
193.53,244.243,105.842,79.23666184906017,182.84801874492166
195.1,246.626,106.648,79.10763666442305,182.93826419623434
196.13,248.743,107.362,78.84845000663336,182.68102308079207
200.63,250.146,107.988,80.20516018645112,185.78916175871393
204.97,251.323,108.417,81.55640351261125,189.05706669618232
205.39,252.862,108.924,81.22612334000362,188.5626675480151
204.22,252.47,108.977,80.88881847348199,187.39734072327187
207.71,255.163,109.78,81.40286797066972,189.20568409546365
211.37,255.9,110.094,82.59867135599843,191.990480861809
212.01,257.305,110.423,82.39637783952895,191.99804388578465
212.43,258.682,110.944,82.12013205402772,191.47497836746467
217.27,256.094,110.237,84.83994158394965,197.09353483857507
