year,Argentina - ARG,Australia - AUS,Austria - AUT,Belgium - BEL,Brazil - BRA,Canada - CAN,Chile - CHL,"China, Hong Kong SAR - HKG",Colombia - COL,Denmark - DNK,Finland - FIN,France - FRA,Germany - DEU,Greece - GRC,Ireland - IRL,Italy - ITA,Japan - JPN,Mexico - MEX,Norway - NOR,Peru - PER,Portugal - PRT,Republic of Korea - KOR,Singapore - SGP,Spain - ESP,Sweden - SWE,Switzerland - CHE,United Kingdom - GBR,United States - USA
1977-01-01,1983.3987224992045,1906.007695898245,1904.783096738778,1754.3521483257653,2031.8328742691826,1834.0,2255.7711340206183,2507.4992247562855,2102.453648795095,1598.4268222373637,1887.8368923495934,1850.328210658758,1806.8871895034652,2107.9543673747753,2202.6734546696453,1864.7463767819902,2064.0062837922883,2170.585808763872,1638.286334056399,2215.84327908631,2106.602032530596,2878.3147610717074,2297.7609593120305,2000.7764577960054,1557.8521584994237,1863.4857832936573,1816.9293401588136,1809.3766545064927
1978-01-01,1980.2608532988565,1906.8548104297552,1844.0675733388794,1735.8991467656135,2016.100414319727,1836.0,2279.6164948453606,2497.36215940412,2092.9259880460377,1575.1555203735686,1893.2558920405852,1819.0271586188412,1787.8250814520682,2109.609746787684,2183.053441712417,1854.7400730313586,2067.987690657049,2169.0781405002995,1601.81236673774,2208.6938204301587,2091.966986415001,2872.5321358511756,2297.0075986712177,1973.552451566903,1520.77815472743,1849.038560997643,1818.037470303431,1815.7156366846689
1979-01-01,1977.127948417083,1912.2551655681336,1876.680397494756,1718.7871453188397,2000.489770637345,1841.0,2303.461855670103,2488.4109053842967,2083.441503668265,1563.8428151287078,1869.1428934155842,1815.5414411216611,1775.785855314344,2111.049325251222,2161.3406273730116,1848.2283483652768,2072.7030528158175,2167.571519448767,1579.9158780231335,2201.5674296324423,2076.958582106729,2866.856458107797,2272.6187095288165,1929.8564415688552,1511.5731537908925,1836.3763440462003,1815.4929996725575,1817.713816712605
1980-01-01,1974.0,1909.762827310066,1881.0353852307107,1698.9741436437034,1985.0,1827.0,2317.7690721649487,2477.289018726588,2074.0,1577.4359504460808,1790.008897928054,1806.1337838434697,1756.723747262947,2111.699221382747,2122.100601458455,1849.2610584820998,2073.943760557551,2166.06594488189,1580.082135523614,2194.464032264296,2058.1627344262856,2860.9420139037084,2281.1913850224087,1918.122438884008,1514.605154099375,1821.839598051816,1785.3963824804425,1801.6114449126944
1981-01-01,1961.2300566642687,1894.8094482427784,1819.1412239725898,1676.3321417293832,1974.0968232429414,1812.0,2360.6907216494847,2466.156309287553,2063.2231457525518,1546.3958542023458,1783.7668834417207,1785.5871871960385,1734.6518326771188,2111.7839285697414,2090.70858072689,1852.643336181761,2068.8276275419466,2167.0030791189843,1570.1976685250886,2187.383554137001,2040.8198738472229,2876.9249301825603,2308.3128852331147,1884.020431081156,1506.2221532464694,1802.5231212942633,1749.1199345067541,1790.005617000504
1982-01-01,1948.5427229804106,1870.6583170695112,1835.118889319159,1661.973140515368,1963.2535352835632,1788.3629543992422,2308.2309278350517,2441.659912109749,2052.5022898597185,1552.8432760201374,1776.4013754816258,1714.378401023063,1723.615875384205,2111.3944872242237,2083.3837758894183,1862.8739519548897,2068.6185422386548,2167.9406188010653,1558.7639311043567,2180.3259213012093,2020.728746496359,2889.9110496590215,2314.7853058964624,1862.9254262544255,1520.3321546820532,1791.4211350048624,1745.4192457438703,1770.6660914062809
1983-01-01,1935.9374645408404,1857.0141304391404,1829.9122813501244,1667.9081410171564,1952.46980716562,1780.2158089273887,2265.309278350516,2410.825047869102,2041.8371413445925,1545.9577289347853,1766.1139508789427,1696.302622285008,1710.5733804016704,2108.8662537596265,2073.1813691516395,1867.663349478232,2074.8601641942337,2168.878564103546,1552.791878172589,2173.2910600461723,2002.7320532083768,2907.8918304726676,2320.0681251926044,1830.7574188940905,1529.6161556266284,1776.667920213431,1739.5484800370132,1779.871536983351
1984-01-01,1923.4137503950928,1878.1584611765384,1825.9255298415096,1691.8771430436711,1941.7453117397527,1791.1159497012409,2298.692783505155,2381.8462839464837,2031.2274107422315,1540.8368585325666,1761.8672852290615,1689.650159744409,1699.5374231087562,2108.4954836262514,2055.130957230969,1856.6703849427547,2089.279754212078,2169.8169152019154,1548.3870967741937,2166.2788968989707,1985.7291143674372,2903.8961014029796,2329.584559096328,1786.692408811612,1531.790155847816,1757.5705870125414,1745.752522133004,1795.5766410898955
1985-01-01,1910.9710530274576,1869.2602361635716,1821.5303009740574,1697.8721435505324,1931.079723653562,1794.9056197966493,2298.692783505155,2356.0827852171233,2020.6728100918021,1527.466410674264,1755.874350729656,1654.322052741584,1676.4622396781178,2107.4692134051193,2062.194161895631,1850.5262185480026,2076.7673324168363,2170.7556722717386,1542.4227562530652,2159.2893586237465,1971.3137835062944,2878.922794717354,2288.4952089148314,1776.7004065253504,1535.8221562580409,1751.3288266093944,1748.0817322354376,1801.1373779503742
1986-01-01,1898.6088483347608,1873.8744790240721,1820.7109722760335,1677.896141861615,1920.47271934174,1798.5189261305231,2332.076288659794,2360.248653846954,2010.1730529287643,1530.9511214557765,1739.292364990689,1648.3516838518387,1657.4001316267208,2107.8125604544957,2096.725384700413,1863.0144056620961,2078.4952318609803,2171.6948354886567,1538.4615384615386,2152.3223722209386,1958.9087589839007,2907.891830472667,2322.786802353514,1768.667404687326,1533.843156056693,1742.7520818444789,1742.7367782997426,1780.8393649782402
1987-01-01,1886.326615604288,1871.6334166372415,1808.7162521787484,1662.9191405953497,1909.9239770162528,1807.0274022357642,2351.1525773195876,2324.3062864216995,1999.7278542770955,1493.0265176090275,1746.2613184742083,1659.3856647804537,1634.3249481960825,2110.0712505021993,2076.0589710520458,1877.6406194707943,2083.968170106206,2172.6344050283865,1510.9353187529084,2145.37786492652,1974.2623785852293,2876.9249301825603,2353.905845166698,1760.6494028527336,1543.9461570845951,1741.4824592682498,1747.566737655391,1788.5174213286757
1988-01-01,1874.123837491852,1867.8535516565776,1812.131248954785,1650.9291395816272,1899.433176656579,1807.8145868299293,2360.6907216494847,2372.4387373355253,1989.3369306415573,1471.169687605984,1749.90811450974,1667.4075586446568,1629.3086039720306,2107.2548232734885,2084.4301765805567,1885.3231283076911,2080.437718372655,2173.5743810667204,1513.3364529714554,2138.455764211239,1954.3780939312767,2830.9740458809983,2367.778114343655,1756.5784019212515,1563.488159072843,1740.9549563062703,1754.7257383966244,1798.271529180383
1989-01-01,1862.0,1877.780871203877,1825.243228733994,1641.9371388213774,1889.0,1802.8204812898969,2370.2288659793817,2314.0312771708377,1979.0,1454.9504389048927,1750.0302822303872,1651.266780529462,1606.233420541392,2109.303995660558,2091.7549814179283,1873.100765639861,2061.361691434056,2174.5147637795276,1510.597302504817,2131.55599777986,1982.8489130006778,2728.084022336307,2427.1813500940852,1744.5603991714222,1562.3411589561445,1725.789018037576,1758.5569419131734,1810.2931027545183
1990-01-01,1850.0,1863.9597606640432,1826.0297782391108,1655.9281400042794,1879.0,1795.292759760993,2408.381443298969,2278.521849344949,1969.0,1440.4997551336514,1726.421973748177,1644.8506685849695,1583.1582371107534,2111.622917075572,2080.2445738163015,1856.4013585581804,2028.41875,2175.570866141732,1502.4295432458698,2124.6784935704104,1972.3800181799447,2674.1416798953687,2431.687529621363,1746.5283996217188,1558.6711585827502,1716.22087515004,1745.9440852211937,1795.5679097717468
1991-01-01,1837.960826568401,1850.4849851871822,1836.444171343395,1618.9741368799173,1868.4704974925346,1774.1893301491066,2370.2288659793817,2309.9045597901813,1958.9744766075949,1437.3112929071435,1707.337993738474,1637.7817276028034,1554.0634406112526,2112.8908660002758,2045.1901506660008,1847.4683131315237,2010.7418981481483,2168.140166695734,1500.4906771344456,2120.4772792949043,1893.1430679061282,2658.158763616517,2451.962451326159,1755.5294016812306,1545.4251572350718,1713.7752385080048,1720.5465838509315,1787.3378165373788
1992-01-01,1826.0,1846.5440602020892,1804.9313616325226,1596.0011349376118,1858.0,1772.3869785373288,2365.4597938144334,2224.171365040353,1949.0,1452.3665974871208,1706.447314002114,1635.152483324128,1565.0938477580814,2112.8689640560146,1996.794118704705,1850.497410937553,1962.130555555555,2160.7348469305894,1510.3244837758111,2126.325148353653,1876.256043482353,2636.182253733183,2455.633330644672,1747.5653998589942,1563.0081590240065,1723.1901620836209,1714.3304620203603,1774.8828523152486
