country_code,country,gdp,labor,human_capital,physical_capital,price_level
COD,D.R. of the Congo,88514.0703125,25.139930725097656,1.6790573596954346,270093.09375,0.534600019454956
DNK,Denmark,312004.0625,2.971836566925049,3.5992648601531982,1473616.125,1.122114658355713
DOM,Dominican Republic,192885.859375,5.126679420471191,2.7671539783477783,775810.125,0.4611088037490845
ECU,Ecuador,194288.453125,8.246670722961426,2.762469530105591,1075764.375,0.5529698729515076
EGY,Egypt,1212398.375,26.794647216796875,2.676786422729492,1635931.875,0.2617615759372711
SLV,El Salvador,52751.42578125,3.0076115131378174,2.3067257404327393,174602.03125,0.5122636556625366
EST,Estonia,45079.3515625,0.6729755401611328,3.6594910621643066,201315.578125,0.6981267333030701
SWZ,Eswatini,9042.5439453125,0.31253039836883545,2.1570098400115967,28794.189453125,0.5080795884132385
ETH,Ethiopia,304722.5625,58.060970306396484,1.455194354057312,630306.875,0.30437561869621277
FJI,Fiji,12362.8251953125,0.30824753642082214,2.7015976905822754,26759.0390625,0.4452419579029083
FIN,Finland,249282.984375,2.6737053394317627,3.5044519901275635,1246925.875,1.0802836418151855
FRA,France,2950146.25,28.532564163208008,3.230137348175049,16697563.0,0.9204690456390381
GAB,Gabon,33140.015625,0.6580106616020203,2.8762669563293457,121401.8828125,0.5095920562744141
GMB,Gambia,5678.66650390625,0.688571572303772,1.6768097877502441,11224.9521484375,0.3210020363330841
DEU,Germany,4274167.5,44.795196533203125,3.67537784576416,19606062.0,0.9033627510070801
GHA,Ghana,162525.890625,13.220724105834961,2.526944875717163,404696.0625,0.4122374355792999
GRC,Greece,286884.53125,4.235072612762451,3.13531756401062,2300537.75,0.7157120704650879
GTM,Guatemala,137257.53125,7.0933732986450195,1.9543628692626953,422017.375,0.5588794350624084
HTI,Haiti,17676.765625,4.534677505493164,1.726601243019104,154609.125,0.45546725392341614
HND,Honduras,53133.1328125,3.833400011062622,2.4374547004699707,219022.03125,0.4723108112812042
HUN,Hungary,284589.5,4.71157693862915,3.4171385765075684,1359222.5,0.5744029879570007
ISL,Iceland,18182.48046875,0.19233807921409607,3.2822329998016357,87042.46875,1.3302935361862183
IND,India,9142121.0,497.61572265625,2.1711645126342773,34101256.0,0.31629228591918945
IDN,Indonesia,3120405.75,131.17068481445312,2.2881650924682617,17715404.0,0.35866835713386536
IRN,Iran (Islamic Republic of),1087768.0,24.594810485839844,2.517744302749634,6499500.5,0.5550628304481506
IRQ,Iraq,458890.15625,8.772139549255371,2.2889058589935303,1126579.625,0.4908197820186615
IRL,Ireland,496383.5,2.2604477405548096,3.185516834259033,1805561.375,0.8029884099960327
ISR,Israel,329783.3125,4.228710174560547,3.891540050506592,1157853.375,1.1980552673339844
ITA,Italy,2462820.0,25.596328735351562,3.1583850383758545,17168478.0,0.8135292530059814
JAM,Jamaica,25149.857421875,1.2448999881744385,2.599545955657959,144695.65625,0.629457414150238
